modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.1520304761904762
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.152015
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.15324428571428572
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.15325166666666665
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.14054785714285714
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.14056714285714283
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.1420064285714286
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.14201261904761905
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.1304469047619048
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.1304435714285714
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.12930476190476187
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.12931523809523812
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.11576166666666665
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.11578357142857143
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.11617357142857139
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.11616952380952382
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.1008907142857143
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.10091119047619047
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.1053552380952381
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.10537690476190475
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.08719333333333334
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.08719714285714288
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.08985261904761904
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.08985
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.08139999999999999
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.08139142857142857
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.08021571428571428
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.08021999999999999
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.06838071428571431
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.0683895238095238
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.06898380952380953
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.06900690476190474
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.05667142857142857
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.056671904761904764
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.05711999999999998
4,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.05712880952380953
4,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.048654047619047625
4,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.048654285714285705
4,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.04800214285714285
4,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.04802690476190476
4,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.03941928571428572
4,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.039412380952380956
4,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.03988261904761905
4,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.03988690476190476
4,5,9,doppler,doppler_p10_v50_f700MHz,perfect,0.03652166666666667
4,5,9,doppler,doppler_p10_v50_f700MHz,cubic,0.03651285714285714
4,5,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.03274214285714286
4,5,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.03272357142857143
4,5,10,doppler,doppler_p10_v50_f700MHz,perfect,0.02542880952380952
4,5,10,doppler,doppler_p10_v50_f700MHz,cubic,0.025435238095238094
4,5,10,doppler,doppler_p10_v50_f3500MHz,perfect,0.026988809523809526
4,5,10,doppler,doppler_p10_v50_f3500MHz,cubic,0.026999047619047617
4,5,11,doppler,doppler_p10_v50_f700MHz,perfect,0.022759999999999996
4,5,11,doppler,doppler_p10_v50_f700MHz,cubic,0.02276333333333333
4,5,11,doppler,doppler_p10_v50_f3500MHz,perfect,0.023026428571428573
4,5,11,doppler,doppler_p10_v50_f3500MHz,cubic,0.02303714285714286
4,5,12,doppler,doppler_p10_v50_f700MHz,perfect,0.017693333333333332
4,5,12,doppler,doppler_p10_v50_f700MHz,cubic,0.017685476190476192
4,5,12,doppler,doppler_p10_v50_f3500MHz,perfect,0.0183047619047619
4,5,12,doppler,doppler_p10_v50_f3500MHz,cubic,0.01831047619047619
4,5,13,doppler,doppler_p10_v50_f700MHz,perfect,0.013736666666666666
4,5,13,doppler,doppler_p10_v50_f700MHz,cubic,0.013716904761904762
4,5,13,doppler,doppler_p10_v50_f3500MHz,perfect,0.01507714285714286
4,5,13,doppler,doppler_p10_v50_f3500MHz,cubic,0.015116904761904764
4,5,14,doppler,doppler_p10_v50_f700MHz,perfect,0.012321666666666667
4,5,14,doppler,doppler_p10_v50_f700MHz,cubic,0.012319047619047622
4,5,14,doppler,doppler_p10_v50_f3500MHz,perfect,0.011509523809523812
4,5,14,doppler,doppler_p10_v50_f3500MHz,cubic,0.011543809523809524
4,5,15,doppler,doppler_p10_v50_f700MHz,perfect,0.00934595238095238
4,5,15,doppler,doppler_p10_v50_f700MHz,cubic,0.00934595238095238
4,5,15,doppler,doppler_p10_v50_f3500MHz,perfect,0.00928547619047619
4,5,15,doppler,doppler_p10_v50_f3500MHz,cubic,0.009311428571428571
4,5,16,doppler,doppler_p10_v50_f700MHz,perfect,0.007488333333333334
4,5,16,doppler,doppler_p10_v50_f700MHz,cubic,0.007485238095238096
4,5,16,doppler,doppler_p10_v50_f3500MHz,perfect,0.007677142857142856
4,5,16,doppler,doppler_p10_v50_f3500MHz,cubic,0.007690714285714286
4,5,17,doppler,doppler_p10_v50_f700MHz,perfect,0.005812380952380953
4,5,17,doppler,doppler_p10_v50_f700MHz,cubic,0.005815952380952381
4,5,17,doppler,doppler_p10_v50_f3500MHz,perfect,0.006178333333333333
4,5,17,doppler,doppler_p10_v50_f3500MHz,cubic,0.00621
4,5,18,doppler,doppler_p10_v50_f700MHz,perfect,0.005012142857142858
4,5,18,doppler,doppler_p10_v50_f700MHz,cubic,0.005012857142857142
4,5,18,doppler,doppler_p10_v50_f3500MHz,perfect,0.004856190476190477
4,5,18,doppler,doppler_p10_v50_f3500MHz,cubic,0.0048926190476190476
4,5,19,doppler,doppler_p10_v50_f700MHz,perfect,0.004302380952380952
4,5,19,doppler,doppler_p10_v50_f700MHz,cubic,0.004305714285714286
