modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,awgn,awgn,perfect,0.17075
4,5,-2,awgn,awgn,fft,0.17075
4,5,-2,awgn,awgn,cubic,0.17075
4,5,-2,rayleigh,rayleigh,perfect,0.18112499999999998
4,5,-2,rayleigh,rayleigh,fft,0.24812499999999998
4,5,-2,rayleigh,rayleigh,cubic,0.24824999999999997
4,5,-2,doppler,doppler_p5_v30_f700MHz,perfect,0.182375
4,5,-2,doppler,doppler_p5_v30_f700MHz,fft,0.18275
4,5,-2,doppler,doppler_p5_v30_f700MHz,cubic,0.184375
4,5,-2,doppler,doppler_p5_v30_f3500MHz,perfect,0.184
4,5,-2,doppler,doppler_p5_v30_f3500MHz,fft,0.18312499999999998
4,5,-2,doppler,doppler_p5_v30_f3500MHz,cubic,0.1965
4,5,-2,doppler,doppler_p5_v120_f700MHz,perfect,0.170625
4,5,-2,doppler,doppler_p5_v120_f700MHz,fft,0.172
4,5,-2,doppler,doppler_p5_v120_f700MHz,cubic,0.182875
4,5,-2,doppler,doppler_p5_v120_f3500MHz,perfect,0.18175
4,5,-2,doppler,doppler_p5_v120_f3500MHz,fft,0.24862499999999998
4,5,-2,doppler,doppler_p5_v120_f3500MHz,cubic,0.24637499999999998
4,5,-2,doppler,doppler_p40_v30_f700MHz,perfect,0.180875
4,5,-2,doppler,doppler_p40_v30_f700MHz,fft,0.18062499999999998
4,5,-2,doppler,doppler_p40_v30_f700MHz,cubic,0.17925
4,5,-2,doppler,doppler_p40_v30_f3500MHz,perfect,0.176875
4,5,-2,doppler,doppler_p40_v30_f3500MHz,fft,0.1765
4,5,-2,doppler,doppler_p40_v30_f3500MHz,cubic,0.18975
4,5,-2,doppler,doppler_p40_v120_f700MHz,perfect,0.17875
4,5,-2,doppler,doppler_p40_v120_f700MHz,fft,0.178875
4,5,-2,doppler,doppler_p40_v120_f700MHz,cubic,0.18625
4,5,-2,doppler,doppler_p40_v120_f3500MHz,perfect,0.187375
4,5,-2,doppler,doppler_p40_v120_f3500MHz,fft,0.24912499999999999
4,5,-2,doppler,doppler_p40_v120_f3500MHz,cubic,0.25175000000000003
4,5,-1,awgn,awgn,perfect,0.15237499999999998
4,5,-1,awgn,awgn,fft,0.15237499999999998
4,5,-1,awgn,awgn,cubic,0.15237499999999998
4,5,-1,rayleigh,rayleigh,perfect,0.183
4,5,-1,rayleigh,rayleigh,fft,0.25275000000000003
4,5,-1,rayleigh,rayleigh,cubic,0.25325
4,5,-1,doppler,doppler_p5_v30_f700MHz,perfect,0.17575
4,5,-1,doppler,doppler_p5_v30_f700MHz,fft,0.17575
4,5,-1,doppler,doppler_p5_v30_f700MHz,cubic,0.17762499999999998
4,5,-1,doppler,doppler_p5_v30_f3500MHz,perfect,0.1695
4,5,-1,doppler,doppler_p5_v30_f3500MHz,fft,0.170875
4,5,-1,doppler,doppler_p5_v30_f3500MHz,cubic,0.18062499999999998
4,5,-1,doppler,doppler_p5_v120_f700MHz,perfect,0.17612499999999998
4,5,-1,doppler,doppler_p5_v120_f700MHz,fft,0.17612499999999998
4,5,-1,doppler,doppler_p5_v120_f700MHz,cubic,0.17862499999999998
4,5,-1,doppler,doppler_p5_v120_f3500MHz,perfect,0.17475
4,5,-1,doppler,doppler_p5_v120_f3500MHz,fft,0.24425
4,5,-1,doppler,doppler_p5_v120_f3500MHz,cubic,0.24987499999999999
4,5,-1,doppler,doppler_p40_v30_f700MHz,perfect,0.18212499999999998
4,5,-1,doppler,doppler_p40_v30_f700MHz,fft,0.18212499999999998
4,5,-1,doppler,doppler_p40_v30_f700MHz,cubic,0.18312499999999998
