modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.30553
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.30548
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.31736
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.31724
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.28645
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.28643
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.28802
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.28813
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.27412
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.27412
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.26196
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.26191
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.22935
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.22937
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.24117
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.24127
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.21977
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.21979
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.21185
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.21221
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.18069
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.18072
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.14525
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.14526
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.14238
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.14243
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.167
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.16681
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.12146
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.12148
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.14502
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.145
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.10219
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.1023
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.13189
4,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.13152
4,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.11877
4,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.1188
4,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.0947
4,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.09498
4,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.07039
4,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.07021
4,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.08787
4,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.0877
4,5,9,doppler,doppler_p10_v50_f700MHz,perfect,0.071
4,5,9,doppler,doppler_p10_v50_f700MHz,cubic,0.071
4,5,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.06512
4,5,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.06541
4,5,10,doppler,doppler_p10_v50_f700MHz,perfect,0.0522
4,5,10,doppler,doppler_p10_v50_f700MHz,cubic,0.05237
4,5,10,doppler,doppler_p10_v50_f3500MHz,perfect,0.04643
4,5,10,doppler,doppler_p10_v50_f3500MHz,cubic,0.04662
4,5,11,doppler,doppler_p10_v50_f700MHz,perfect,0.04976
4,5,11,doppler,doppler_p10_v50_f700MHz,cubic,0.04971
4,5,11,doppler,doppler_p10_v50_f3500MHz,perfect,0.04751
4,5,11,doppler,doppler_p10_v50_f3500MHz,cubic,0.04735
4,5,12,doppler,doppler_p10_v50_f700MHz,perfect,0.03683
4,5,12,doppler,doppler_p10_v50_f700MHz,cubic,0.03677
4,5,12,doppler,doppler_p10_v50_f3500MHz,perfect,0.03727
4,5,12,doppler,doppler_p10_v50_f3500MHz,cubic,0.03733
4,5,13,doppler,doppler_p10_v50_f700MHz,perfect,0.0249
4,5,13,doppler,doppler_p10_v50_f700MHz,cubic,0.02492
4,5,13,doppler,doppler_p10_v50_f3500MHz,perfect,0.0285
4,5,13,doppler,doppler_p10_v50_f3500MHz,cubic,0.02857
4,5,14,doppler,doppler_p10_v50_f700MHz,perfect,0.03121
4,5,14,doppler,doppler_p10_v50_f700MHz,cubic,0.03125
4,5,14,doppler,doppler_p10_v50_f3500MHz,perfect,0.02353
4,5,14,doppler,doppler_p10_v50_f3500MHz,cubic,0.02355
4,5,15,doppler,doppler_p10_v50_f700MHz,perfect,0.01251
4,5,15,doppler,doppler_p10_v50_f700MHz,cubic,0.01249
4,5,15,doppler,doppler_p10_v50_f3500MHz,perfect,0.01428
4,5,15,doppler,doppler_p10_v50_f3500MHz,cubic,0.01431
4,5,16,doppler,doppler_p10_v50_f700MHz,perfect,0.01106
4,5,16,doppler,doppler_p10_v50_f700MHz,cubic,0.01101
4,5,16,doppler,doppler_p10_v50_f3500MHz,perfect,0.01328
4,5,16,doppler,doppler_p10_v50_f3500MHz,cubic,0.0133
4,5,17,doppler,doppler_p10_v50_f700MHz,perfect,0.01004
4,5,17,doppler,doppler_p10_v50_f700MHz,cubic,0.01004
4,5,17,doppler,doppler_p10_v50_f3500MHz,perfect,0.01305
4,5,17,doppler,doppler_p10_v50_f3500MHz,cubic,0.013
4,5,18,doppler,doppler_p10_v50_f700MHz,perfect,0.00842
4,5,18,doppler,doppler_p10_v50_f700MHz,cubic,0.00834
4,5,18,doppler,doppler_p10_v50_f3500MHz,perfect,0.00848
4,5,18,doppler,doppler_p10_v50_f3500MHz,cubic,0.00846
4,5,19,doppler,doppler_p10_v50_f700MHz,perfect,0.00837
4,5,19,doppler,doppler_p10_v50_f700MHz,cubic,0.00848
4,5,19,doppler,doppler_p10_v50_f3500MHz,perfect,0.00805
4,5,19,doppler,doppler_p10_v50_f3500MHz,cubic,0.00783
4,5,20,doppler,doppler_p10_v50_f700MHz,perfect,0.00566
4,5,20,doppler,doppler_p10_v50_f700MHz,cubic,0.00571
4,5,20,doppler,doppler_p10_v50_f3500MHz,perfect,0.00461
4,5,20,doppler,doppler_p10_v50_f3500MHz,cubic,0.00465
4,5,21,doppler,doppler_p10_v50_f700MHz,perfect,0.00551
4,5,21,doppler,doppler_p10_v50_f700MHz,cubic,0.00557
4,5,21,doppler,doppler_p10_v50_f3500MHz,perfect,0.0048
4,5,21,doppler,doppler_p10_v50_f3500MHz,cubic,0.00486
4,5,22,doppler,doppler_p10_v50_f700MHz,perfect,0.00459
4,5,22,doppler,doppler_p10_v50_f700MHz,cubic,0.00461
4,5,22,doppler,doppler_p10_v50_f3500MHz,perfect,0.00574
4,5,22,doppler,doppler_p10_v50_f3500MHz,cubic,0.00577
4,5,23,doppler,doppler_p10_v50_f700MHz,perfect,0.00497
4,5,23,doppler,doppler_p10_v50_f700MHz,cubic,0.00495
4,5,23,doppler,doppler_p10_v50_f3500MHz,perfect,0.00248
4,5,23,doppler,doppler_p10_v50_f3500MHz,cubic,0.00253
4,5,24,doppler,doppler_p10_v50_f700MHz,perfect,0.0019
4,5,24,doppler,doppler_p10_v50_f700MHz,cubic,0.0019
