modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.4808252380952381
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.2279090476190476
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.48544904761904756
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.2264995238095238
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.47748238095238094
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.19863095238095235
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.4844990476190475
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.19880380952380952
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.48730761904761916
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.17374619047619042
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.4846604761904763
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.16768619047619046
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.47721714285714284
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.14651095238095238
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.48434857142857135
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.15070095238095235
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.4700933333333333
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.12946047619047615
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.47721380952380943
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.12676619047619042
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.48745238095238086
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.10548523809523806
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.48118047619047616
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.1068490476190476
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.4742047619047618
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.09082428571428572
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.486352380952381
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.08984476190476191
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.48481761904761905
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.07666000000000002
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.48177809523809517
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.07513761904761905
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.47352619047619043
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.05781142857142856
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.4820204761904761
4,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.06071333333333334
4,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.4862161904761904
4,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.04842904761904763
4,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.48277142857142863
4,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.05060428571428571
4,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.48589095238095237
4,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.03633380952380953
4,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.48386285714285715
4,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.04098285714285714
4,5,9,doppler,doppler_p10_v50_f700MHz,perfect,0.4944928571428572
4,5,9,doppler,doppler_p10_v50_f700MHz,cubic,0.031963809523809526
4,5,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.4805595238095237
4,5,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.03152095238095238
4,5,10,doppler,doppler_p10_v50_f700MHz,perfect,0.49865238095238096
4,5,10,doppler,doppler_p10_v50_f700MHz,cubic,0.026796666666666673
4,5,10,doppler,doppler_p10_v50_f3500MHz,perfect,0.483167619047619
4,5,10,doppler,doppler_p10_v50_f3500MHz,cubic,0.025831428571428575
4,5,11,doppler,doppler_p10_v50_f700MHz,perfect,0.47568333333333335
4,5,11,doppler,doppler_p10_v50_f700MHz,cubic,0.022096666666666667
4,5,11,doppler,doppler_p10_v50_f3500MHz,perfect,0.48302142857142855
4,5,11,doppler,doppler_p10_v50_f3500MHz,cubic,0.02076666666666667
4,5,12,doppler,doppler_p10_v50_f700MHz,perfect,0.47682
4,5,12,doppler,doppler_p10_v50_f700MHz,cubic,0.016543809523809523
4,5,12,doppler,doppler_p10_v50_f3500MHz,perfect,0.4843890476190476
4,5,12,doppler,doppler_p10_v50_f3500MHz,cubic,0.01666714285714286
4,5,13,doppler,doppler_p10_v50_f700MHz,perfect,0.4943528571428571
4,5,13,doppler,doppler_p10_v50_f700MHz,cubic,0.013548571428571429
4,5,13,doppler,doppler_p10_v50_f3500MHz,perfect,0.48759952380952387
4,5,13,doppler,doppler_p10_v50_f3500MHz,cubic,0.013976190476190479
4,5,14,doppler,doppler_p10_v50_f700MHz,perfect,0.4755861904761905
4,5,14,doppler,doppler_p10_v50_f700MHz,cubic,0.011004761904761906
4,5,14,doppler,doppler_p10_v50_f3500MHz,perfect,0.4852709523809523
4,5,14,doppler,doppler_p10_v50_f3500MHz,cubic,0.01075095238095238
4,5,15,doppler,doppler_p10_v50_f700MHz,perfect,0.49183571428571426
4,5,15,doppler,doppler_p10_v50_f700MHz,cubic,0.008512857142857145
4,5,15,doppler,doppler_p10_v50_f3500MHz,perfect,0.4898480952380953
4,5,15,doppler,doppler_p10_v50_f3500MHz,cubic,0.008391428571428574
4,5,16,doppler,doppler_p10_v50_f700MHz,perfect,0.5036309523809523
4,5,16,doppler,doppler_p10_v50_f700MHz,cubic,0.006977142857142858
4,5,16,doppler,doppler_p10_v50_f3500MHz,perfect,0.48139666666666664
4,5,16,doppler,doppler_p10_v50_f3500MHz,cubic,0.006896666666666667
4,5,17,doppler,doppler_p10_v50_f700MHz,perfect,0.493722380952381
4,5,17,doppler,doppler_p10_v50_f700MHz,cubic,0.004995238095238095
4,5,17,doppler,doppler_p10_v50_f3500MHz,perfect,0.4865461904761905
4,5,17,doppler,doppler_p10_v50_f3500MHz,cubic,0.005466190476190477
4,5,18,doppler,doppler_p10_v50_f700MHz,perfect,0.4888038095238096
4,5,18,doppler,doppler_p10_v50_f700MHz,cubic,0.004360476190476191
4,5,18,doppler,doppler_p10_v50_f3500MHz,perfect,0.4923238095238095
4,5,18,doppler,doppler_p10_v50_f3500MHz,cubic,0.0048019047619047624
4,5,19,doppler,doppler_p10_v50_f700MHz,perfect,0.4889814285714285
4,5,19,doppler,doppler_p10_v50_f700MHz,cubic,0.003604285714285714
4,5,19,doppler,doppler_p10_v50_f3500MHz,perfect,0.4883076190476191
4,5,19,doppler,doppler_p10_v50_f3500MHz,cubic,0.003454285714285714
4,5,20,doppler,doppler_p10_v50_f700MHz,perfect,0.4882400000000001
4,5,20,doppler,doppler_p10_v50_f700MHz,cubic,0.0022466666666666668
4,5,20,doppler,doppler_p10_v50_f3500MHz,perfect,0.4905761904761904
4,5,20,doppler,doppler_p10_v50_f3500MHz,cubic,0.002834285714285714
4,5,21,doppler,doppler_p10_v50_f700MHz,perfect,0.4742795238095238
4,5,21,doppler,doppler_p10_v50_f700MHz,cubic,0.002163333333333333
4,5,21,doppler,doppler_p10_v50_f3500MHz,perfect,0.49059476190476176
4,5,21,doppler,doppler_p10_v50_f3500MHz,cubic,0.002325238095238095
4,5,22,doppler,doppler_p10_v50_f700MHz,perfect,0.49706238095238103
4,5,22,doppler,doppler_p10_v50_f700MHz,cubic,0.0019080952380952382
4,5,22,doppler,doppler_p10_v50_f3500MHz,perfect,0.49213714285714294
4,5,22,doppler,doppler_p10_v50_f3500MHz,cubic,0.0017342857142857142
4,5,23,doppler,doppler_p10_v50_f700MHz,perfect,0.4996042857142857
4,5,23,doppler,doppler_p10_v50_f700MHz,cubic,0.0016466666666666663
4,5,23,doppler,doppler_p10_v50_f3500MHz,perfect,0.49035809523809537
4,5,23,doppler,doppler_p10_v50_f3500MHz,cubic,0.0014942857142857143
4,5,24,doppler,doppler_p10_v50_f700MHz,perfect,0.49083809523809546
4,5,24,doppler,doppler_p10_v50_f700MHz,cubic,0.0009180952380952381
4,5,24,doppler,doppler_p10_v50_f3500MHz,perfect,0.48849428571428566
4,5,24,doppler,doppler_p10_v50_f3500MHz,cubic,0.0011819047619047618
4,5,25,doppler,doppler_p10_v50_f700MHz,perfect,0.47906190476190486
4,5,25,doppler,doppler_p10_v50_f700MHz,cubic,0.0009047619047619045
4,5,25,doppler,doppler_p10_v50_f3500MHz,perfect,0.49268095238095244
4,5,25,doppler,doppler_p10_v50_f3500MHz,cubic,0.0008352380952380953
4,5,26,doppler,doppler_p10_v50_f700MHz,perfect,0.4922942857142857
4,5,26,doppler,doppler_p10_v50_f700MHz,cubic,0.0007247619047619047
4,5,26,doppler,doppler_p10_v50_f3500MHz,perfect,0.48264285714285726
4,5,26,doppler,doppler_p10_v50_f3500MHz,cubic,0.0006395238095238096
4,5,27,doppler,doppler_p10_v50_f700MHz,perfect,0.4952357142857142
4,5,27,doppler,doppler_p10_v50_f700MHz,cubic,0.0004028571428571428
4,5,27,doppler,doppler_p10_v50_f3500MHz,perfect,0.48777809523809534
4,5,27,doppler,doppler_p10_v50_f3500MHz,cubic,0.0005761904761904761
4,5,28,doppler,doppler_p10_v50_f700MHz,perfect,0.48911714285714275
4,5,28,doppler,doppler_p10_v50_f700MHz,cubic,0.00042095238095238096
4,5,28,doppler,doppler_p10_v50_f3500MHz,perfect,0.4815785714285714
4,5,28,doppler,doppler_p10_v50_f3500MHz,cubic,0.00048714285714285705
4,5,29,doppler,doppler_p10_v50_f700MHz,perfect,0.4955590476190477
4,5,29,doppler,doppler_p10_v50_f700MHz,cubic,0.00040095238095238096
4,5,29,doppler,doppler_p10_v50_f3500MHz,perfect,0.49407666666666666
4,5,29,doppler,doppler_p10_v50_f3500MHz,cubic,0.0003728571428571429
4,5,30,doppler,doppler_p10_v50_f700MHz,perfect,0.4909904761904762
4,5,30,doppler,doppler_p10_v50_f700MHz,cubic,0.00027190476190476194
4,5,30,doppler,doppler_p10_v50_f3500MHz,perfect,0.4888609523809524
4,5,30,doppler,doppler_p10_v50_f3500MHz,cubic,0.0003266666666666666
4,10,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.47979761904761903
4,10,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.22959000000000002
4,10,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.4824185714285715
4,10,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.22189714285714277
4,10,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.4863590476190475
4,10,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.20041714285714285
4,10,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.4853033333333332
4,10,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.1966490476190476
4,10,0,doppler,doppler_p10_v50_f700MHz,perfect,0.47843428571428576
4,10,0,doppler,doppler_p10_v50_f700MHz,cubic,0.17578000000000002
4,10,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.4779180952380952
4,10,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.17309238095238094
4,10,1,doppler,doppler_p10_v50_f700MHz,perfect,0.4796466666666668
4,10,1,doppler,doppler_p10_v50_f700MHz,cubic,0.14521428571428574
4,10,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.47774523809523817
4,10,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.14859571428571428
4,10,2,doppler,doppler_p10_v50_f700MHz,perfect,0.4808652380952382
4,10,2,doppler,doppler_p10_v50_f700MHz,cubic,0.12318142857142857
4,10,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.47888095238095235
4,10,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.1234090476190476
4,10,3,doppler,doppler_p10_v50_f700MHz,perfect,0.47861857142857145
4,10,3,doppler,doppler_p10_v50_f700MHz,cubic,0.10401999999999999
4,10,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.4841280952380953
4,10,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.10490333333333332
4,10,4,doppler,doppler_p10_v50_f700MHz,perfect,0.4809390476190476
4,10,4,doppler,doppler_p10_v50_f700MHz,cubic,0.0929961904761905
4,10,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.4799304761904762
4,10,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.08886714285714287
4,10,5,doppler,doppler_p10_v50_f700MHz,perfect,0.4727947619047619
4,10,5,doppler,doppler_p10_v50_f700MHz,cubic,0.07525714285714287
4,10,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.47889238095238096
4,10,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.07398809523809524
4,10,6,doppler,doppler_p10_v50_f700MHz,perfect,0.4891252380952381
4,10,6,doppler,doppler_p10_v50_f700MHz,cubic,0.060752380952380954
4,10,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.4802533333333333
4,10,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.06111619047619047
4,10,7,doppler,doppler_p10_v50_f700MHz,perfect,0.4936895238095239
4,10,7,doppler,doppler_p10_v50_f700MHz,cubic,0.051595714285714286
4,10,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.48125761904761905
4,10,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.04830142857142857
4,10,8,doppler,doppler_p10_v50_f700MHz,perfect,0.4853085714285714
4,10,8,doppler,doppler_p10_v50_f700MHz,cubic,0.04102857142857143
4,10,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.48332476190476176
4,10,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.03786714285714285
4,10,9,doppler,doppler_p10_v50_f700MHz,perfect,0.48688857142857145
4,10,9,doppler,doppler_p10_v50_f700MHz,cubic,0.03164714285714286
4,10,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.48669619047619056
4,10,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.03265904761904762
4,10,10,doppler,doppler_p10_v50_f700MHz,perfect,0.4827447619047617
4,10,10,doppler,doppler_p10_v50_f700MHz,cubic,0.025095238095238098
4,10,10,doppler,doppler_p10_v50_f3500MHz,perfect,0.48317904761904756
4,10,10,doppler,doppler_p10_v50_f3500MHz,cubic,0.025613333333333328
4,10,11,doppler,doppler_p10_v50_f700MHz,perfect,0.4869938095238096
4,10,11,doppler,doppler_p10_v50_f700MHz,cubic,0.021063809523809523
4,10,11,doppler,doppler_p10_v50_f3500MHz,perfect,0.48628142857142864
4,10,11,doppler,doppler_p10_v50_f3500MHz,cubic,0.020752857142857146
4,10,12,doppler,doppler_p10_v50_f700MHz,perfect,0.4882542857142857
4,10,12,doppler,doppler_p10_v50_f700MHz,cubic,0.017257142857142856
4,10,12,doppler,doppler_p10_v50_f3500MHz,perfect,0.4876838095238095
4,10,12,doppler,doppler_p10_v50_f3500MHz,cubic,0.017102857142857145
4,10,13,doppler,doppler_p10_v50_f700MHz,perfect,0.48359619047619046
4,10,13,doppler,doppler_p10_v50_f700MHz,cubic,0.014165238095238095
4,10,13,doppler,doppler_p10_v50_f3500MHz,perfect,0.48681809523809527
4,10,13,doppler,doppler_p10_v50_f3500MHz,cubic,0.013735714285714287
4,10,14,doppler,doppler_p10_v50_f700MHz,perfect,0.4764190476190477
4,10,14,doppler,doppler_p10_v50_f700MHz,cubic,0.010259523809523809
4,10,14,doppler,doppler_p10_v50_f3500MHz,perfect,0.4837285714285713
4,10,14,doppler,doppler_p10_v50_f3500MHz,cubic,0.010982857142857143
4,10,15,doppler,doppler_p10_v50_f700MHz,perfect,0.4859361904761905
4,10,15,doppler,doppler_p10_v50_f700MHz,cubic,0.007796190476190475
4,10,15,doppler,doppler_p10_v50_f3500MHz,perfect,0.49248476190476187
4,10,15,doppler,doppler_p10_v50_f3500MHz,cubic,0.008852857142857141
4,10,16,doppler,doppler_p10_v50_f700MHz,perfect,0.4893842857142857
4,10,16,doppler,doppler_p10_v50_f700MHz,cubic,0.006593809523809523
4,10,16,doppler,doppler_p10_v50_f3500MHz,perfect,0.48916190476190474
4,10,16,doppler,doppler_p10_v50_f3500MHz,cubic,0.006787142857142857
4,10,17,doppler,doppler_p10_v50_f700MHz,perfect,0.47502809523809525
4,10,17,doppler,doppler_p10_v50_f700MHz,cubic,0.004669047619047619
4,10,17,doppler,doppler_p10_v50_f3500MHz,perfect,0.4912747619047619
4,10,17,doppler,doppler_p10_v50_f3500MHz,cubic,0.005434761904761904
4,10,18,doppler,doppler_p10_v50_f700MHz,perfect,0.48672714285714286
4,10,18,doppler,doppler_p10_v50_f700MHz,cubic,0.003813333333333333
4,10,18,doppler,doppler_p10_v50_f3500MHz,perfect,0.4933890476190475
4,10,18,doppler,doppler_p10_v50_f3500MHz,cubic,0.0044980952380952385
4,10,19,doppler,doppler_p10_v50_f700MHz,perfect,0.4944619047619047
4,10,19,doppler,doppler_p10_v50_f700MHz,cubic,0.003262857142857143
4,10,19,doppler,doppler_p10_v50_f3500MHz,perfect,0.48658571428571434
4,10,19,doppler,doppler_p10_v50_f3500MHz,cubic,0.00329952380952381
4,10,20,doppler,doppler_p10_v50_f700MHz,perfect,0.48638904761904767
4,10,20,doppler,doppler_p10_v50_f700MHz,cubic,0.0026509523809523814
4,10,20,doppler,doppler_p10_v50_f3500MHz,perfect,0.48725142857142856
4,10,20,doppler,doppler_p10_v50_f3500MHz,cubic,0.002991428571428572
4,10,21,doppler,doppler_p10_v50_f700MHz,perfect,0.4929871428571429
4,10,21,doppler,doppler_p10_v50_f700MHz,cubic,0.0018942857142857145
4,10,21,doppler,doppler_p10_v50_f3500MHz,perfect,0.492087619047619
4,10,21,doppler,doppler_p10_v50_f3500MHz,cubic,0.0022261904761904762
4,10,22,doppler,doppler_p10_v50_f700MHz,perfect,0.4905985714285712
4,10,22,doppler,doppler_p10_v50_f700MHz,cubic,0.0016685714285714283
4,10,22,doppler,doppler_p10_v50_f3500MHz,perfect,0.48945333333333335
4,10,22,doppler,doppler_p10_v50_f3500MHz,cubic,0.001774285714285714
4,10,23,doppler,doppler_p10_v50_f700MHz,perfect,0.4850247619047619
4,10,23,doppler,doppler_p10_v50_f700MHz,cubic,0.001479047619047619
4,10,23,doppler,doppler_p10_v50_f3500MHz,perfect,0.48558952380952386
4,10,23,doppler,doppler_p10_v50_f3500MHz,cubic,0.0013685714285714284
4,10,24,doppler,doppler_p10_v50_f700MHz,perfect,0.4859442857142858
4,10,24,doppler,doppler_p10_v50_f700MHz,cubic,0.0012695238095238096
4,10,24,doppler,doppler_p10_v50_f3500MHz,perfect,0.48939095238095237
4,10,24,doppler,doppler_p10_v50_f3500MHz,cubic,0.0010457142857142857
4,10,25,doppler,doppler_p10_v50_f700MHz,perfect,0.4864176190476191
4,10,25,doppler,doppler_p10_v50_f700MHz,cubic,0.0007542857142857145
4,10,25,doppler,doppler_p10_v50_f3500MHz,perfect,0.48356666666666664
4,10,25,doppler,doppler_p10_v50_f3500MHz,cubic,0.0008852380952380954
4,10,26,doppler,doppler_p10_v50_f700MHz,perfect,0.4874466666666666
4,10,26,doppler,doppler_p10_v50_f700MHz,cubic,0.0006280952380952383
4,10,26,doppler,doppler_p10_v50_f3500MHz,perfect,0.49226428571428565
4,10,26,doppler,doppler_p10_v50_f3500MHz,cubic,0.0007099999999999999
4,10,27,doppler,doppler_p10_v50_f700MHz,perfect,0.49253428571428576
4,10,27,doppler,doppler_p10_v50_f700MHz,cubic,0.000618095238095238
4,10,27,doppler,doppler_p10_v50_f3500MHz,perfect,0.4854061904761905
4,10,27,doppler,doppler_p10_v50_f3500MHz,cubic,0.0006223809523809524
4,10,28,doppler,doppler_p10_v50_f700MHz,perfect,0.4808704761904761
4,10,28,doppler,doppler_p10_v50_f700MHz,cubic,0.0004114285714285714
4,10,28,doppler,doppler_p10_v50_f3500MHz,perfect,0.4925919047619048
4,10,28,doppler,doppler_p10_v50_f3500MHz,cubic,0.0004295238095238094
4,10,29,doppler,doppler_p10_v50_f700MHz,perfect,0.48270952380952387
4,10,29,doppler,doppler_p10_v50_f700MHz,cubic,0.0003785714285714286
4,10,29,doppler,doppler_p10_v50_f3500MHz,perfect,0.49260714285714285
4,10,29,doppler,doppler_p10_v50_f3500MHz,cubic,0.00034904761904761905
4,10,30,doppler,doppler_p10_v50_f700MHz,perfect,0.48860952380952377
4,10,30,doppler,doppler_p10_v50_f700MHz,cubic,0.00031380952380952393
4,10,30,doppler,doppler_p10_v50_f3500MHz,perfect,0.49665428571428577
4,10,30,doppler,doppler_p10_v50_f3500MHz,cubic,0.0002523809523809524
16,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.4591104761904761
16,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.14869476190476194
16,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.452827142857143
16,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.14809238095238095
16,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.4519604761904762
16,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.12412666666666669
16,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.4487880952380953
16,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.12584714285714288
16,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.4509738095238096
16,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.11068476190476187
16,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.4488071428571428
16,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.10767238095238095
16,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.44601999999999997
16,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.08790619047619048
16,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.4460328571428572
16,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.0858804761904762
16,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.44749285714285714
16,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.07569142857142858
16,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.44569761904761906
16,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.07501000000000001
16,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.4492795238095238
16,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.059340476190476193
16,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.4455390476190476
16,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.06355095238095239
16,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.43720523809523815
16,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.048901428571428575
16,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.4443023809523809
16,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.05051
16,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.4520180952380953
16,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.042754761904761907
16,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.4467795238095238
16,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.042023333333333336
16,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.4443314285714286
16,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.035527142857142854
16,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.44336476190476193
16,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.03312333333333333
16,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.44166380952380957
16,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.026418095238095234
16,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.44225000000000003
16,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.0270347619047619
16,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.43678904761904774
16,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.021604285714285715
16,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.4413933333333333
16,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.02169047619047619
16,5,9,doppler,doppler_p10_v50_f700MHz,perfect,0.4393695238095238
16,5,9,doppler,doppler_p10_v50_f700MHz,cubic,0.01569809523809524
16,5,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.4435009523809524
16,5,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.01748
16,5,10,doppler,doppler_p10_v50_f700MHz,perfect,0.44260190476190475
16,5,10,doppler,doppler_p10_v50_f700MHz,cubic,0.013986666666666666
16,5,10,doppler,doppler_p10_v50_f3500MHz,perfect,0.44060428571428567
16,5,10,doppler,doppler_p10_v50_f3500MHz,cubic,0.01360238095238095
16,5,11,doppler,doppler_p10_v50_f700MHz,perfect,0.43786714285714284
16,5,11,doppler,doppler_p10_v50_f700MHz,cubic,0.010631904761904763
16,5,11,doppler,doppler_p10_v50_f3500MHz,perfect,0.44600952380952374
16,5,11,doppler,doppler_p10_v50_f3500MHz,cubic,0.01116142857142857
16,5,12,doppler,doppler_p10_v50_f700MHz,perfect,0.4444928571428572
16,5,12,doppler,doppler_p10_v50_f700MHz,cubic,0.009052857142857144
16,5,12,doppler,doppler_p10_v50_f3500MHz,perfect,0.4414180952380953
16,5,12,doppler,doppler_p10_v50_f3500MHz,cubic,0.009513333333333332
16,5,13,doppler,doppler_p10_v50_f700MHz,perfect,0.44496095238095235
16,5,13,doppler,doppler_p10_v50_f700MHz,cubic,0.007298571428571428
16,5,13,doppler,doppler_p10_v50_f3500MHz,perfect,0.4451466666666666
16,5,13,doppler,doppler_p10_v50_f3500MHz,cubic,0.007779523809523809
16,5,14,doppler,doppler_p10_v50_f700MHz,perfect,0.4435842857142857
16,5,14,doppler,doppler_p10_v50_f700MHz,cubic,0.005172857142857143
16,5,14,doppler,doppler_p10_v50_f3500MHz,perfect,0.44314904761904766
16,5,14,doppler,doppler_p10_v50_f3500MHz,cubic,0.005783333333333334
16,5,15,doppler,doppler_p10_v50_f700MHz,perfect,0.4402757142857143
16,5,15,doppler,doppler_p10_v50_f700MHz,cubic,0.004947619047619047
16,5,15,doppler,doppler_p10_v50_f3500MHz,perfect,0.4400661904761905
