modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.21762857142857142
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.21763238095238094
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.22567619047619042
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.22563523809523806
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.19451190476190475
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.19451000000000002
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.1966528571428571
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.19673761904761902
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.17398904761904763
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.17401285714285716
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.17138761904761907
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.17134619047619049
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.1502957142857143
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.15027
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.1495052380952381
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.1495395238095238
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.13057761904761905
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.13059666666666667
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.1259795238095238
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.12596047619047618
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.10370000000000001
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.10371809523809523
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.10854047619047619
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.10855904761904764
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.0864057142857143
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.08638571428571429
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.08819666666666667
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.08819
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.07146238095238096
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.07144714285714286
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.07536761904761903
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.07537428571428573
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.05856714285714286
