modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.36317000000000005
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.36316714285714274
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.36051666666666665
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.3605061904761905
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.347977619047619
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.34795095238095236
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.3473742857142857
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.3473609523809524
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.33833476190476197
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.33830380952380956
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.3386580952380952
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.3386166666666666
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.3297414285714286
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.3297142857142857
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.32713095238095236
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.3271414285714286
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.32022190476190476
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.32022761904761904
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.31938904761904763
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.3193828571428571
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.3114619047619048
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.31144523809523816
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.31137333333333334
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.3113490476190476
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.30374333333333337
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.30371
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.30345571428571433
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.30348285714285717
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.2946342857142858
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.29464999999999997
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.2972833333333333
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.2972509523809524
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.2925419047619048
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.2925595238095238
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.2909042857142857
4,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.29087714285714295
4,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.28651999999999994
4,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.2865161904761905
4,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.28637
4,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.28637571428571434
4,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.28221380952380953
4,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.28222238095238095
4,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.2821366666666666
4,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.2820942857142857
4,5,9,doppler,doppler_p10_v50_f700MHz,perfect,0.27942523809523817
4,5,9,doppler,doppler_p10_v50_f700MHz,cubic,0.2794114285714286
4,5,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.27905476190476197
4,5,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.27908761904761903
4,5,10,doppler,doppler_p10_v50_f700MHz,perfect,0.2758814285714286
4,5,10,doppler,doppler_p10_v50_f700MHz,cubic,0.2758838095238095
4,5,10,doppler,doppler_p10_v50_f3500MHz,perfect,0.2765242857142858
4,5,10,doppler,doppler_p10_v50_f3500MHz,cubic,0.2765228571428572
4,5,11,doppler,doppler_p10_v50_f700MHz,perfect,0.27412476190476187
4,5,11,doppler,doppler_p10_v50_f700MHz,cubic,0.2741119047619048
4,5,11,doppler,doppler_p10_v50_f3500MHz,perfect,0.2734428571428571
4,5,11,doppler,doppler_p10_v50_f3500MHz,cubic,0.27346
4,5,12,doppler,doppler_p10_v50_f700MHz,perfect,0.27319571428571426
4,5,12,doppler,doppler_p10_v50_f700MHz,cubic,0.2731980952380953
4,5,12,doppler,doppler_p10_v50_f3500MHz,perfect,0.2734819047619048
4,5,12,doppler,doppler_p10_v50_f3500MHz,cubic,0.27347523809523805
4,5,13,doppler,doppler_p10_v50_f700MHz,perfect,0.27069428571428567
4,5,13,doppler,doppler_p10_v50_f700MHz,cubic,0.2706990476190476
4,5,13,doppler,doppler_p10_v50_f3500MHz,perfect,0.2714580952380953
4,5,13,doppler,doppler_p10_v50_f3500MHz,cubic,0.2714385714285714
4,5,14,doppler,doppler_p10_v50_f700MHz,perfect,0.26973571428571425
4,5,14,doppler,doppler_p10_v50_f700MHz,cubic,0.26973095238095235
4,5,14,doppler,doppler_p10_v50_f3500MHz,perfect,0.2711271428571429
4,5,14,doppler,doppler_p10_v50_f3500MHz,cubic,0.2711390476190476
4,5,15,doppler,doppler_p10_v50_f700MHz,perfect,0.2694661904761905
4,5,15,doppler,doppler_p10_v50_f700MHz,cubic,0.2694742857142858
4,5,15,doppler,doppler_p10_v50_f3500MHz,perfect,0.26926142857142854
