modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.09203595238095238
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.09204380952380953
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.09207571428571429
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.09209357142857143
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.0844945238095238
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.08449357142857143
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.08331714285714284
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.08329666666666666
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.07057047619047618
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.07057880952380953
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.07060119047619048
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.07059476190476191
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.0633695238095238
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.06336690476190476
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.06173357142857142
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.06173404761904761
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.05335238095238096
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.0533545238095238
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.05213714285714285
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.05216071428571428
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.04775452380952381
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.04775380952380952
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.04467857142857143
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.04468285714285714
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.0390704761904762
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.03906976190476191
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.03815095238095238
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.03817285714285714
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.03175261904761905
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.03175190476190476
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.029856190476190474
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.02986666666666666
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.02644285714285715
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.026433571428571428
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.025073333333333333
4,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.025091428571428574
4,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.022187619047619046
4,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.022189523809523812
4,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.02126047619047619
4,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.02129
4,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.017064761904761905
4,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.01707071428571429
4,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.01661642857142857
4,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.016624047619047618
