modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.15430428571428573
4,5,-2,doppler,doppler_p10_v50_f700MHz,fft,0.1543159523809524
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.15431785714285715
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.15373380952380952
4,5,-2,doppler,doppler_p10_v50_f3500MHz,fft,0.15373142857142857
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.15373190476190474
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.13803761904761902
4,5,-1,doppler,doppler_p10_v50_f700MHz,fft,0.13804000000000002
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.1380316666666667
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.14130714285714285
4,5,-1,doppler,doppler_p10_v50_f3500MHz,fft,0.14130976190476194
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.14135999999999999
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.13147000000000003
4,5,0,doppler,doppler_p10_v50_f700MHz,fft,0.13146309523809524
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.13147857142857142
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.12810071428571432
4,5,0,doppler,doppler_p10_v50_f3500MHz,fft,0.12809666666666666
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.12810309523809524
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.11453571428571427
4,5,1,doppler,doppler_p10_v50_f700MHz,fft,0.11453666666666663
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.11455166666666663
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.11702976190476191
4,5,1,doppler,doppler_p10_v50_f3500MHz,fft,0.117025
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.11706166666666667
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.10140238095238094
