modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,awgn,awgn,perfect,1.3733738095238096e-06
4,5,-2,awgn,awgn,fft,1.3733738095238096e-06
4,5,-2,awgn,awgn,cubic,1.3733738095238096e-06
4,5,-2,rayleigh,rayleigh,perfect,1.5329452380952382e-06
4,5,-2,rayleigh,rayleigh,fft,2.500835714285714e-06
4,5,-2,rayleigh,rayleigh,cubic,2.500261904761905e-06
4,5,-2,doppler,doppler_p5_v30_f700MHz,perfect,1.5351166666666666e-06
4,5,-2,doppler,doppler_p5_v30_f700MHz,fft,1.535114285714286e-06
4,5,-2,doppler,doppler_p5_v30_f700MHz,cubic,1.5350142857142855e-06
4,5,-2,doppler,doppler_p5_v30_f3500MHz,perfect,1.5306595238095236e-06
4,5,-2,doppler,doppler_p5_v30_f3500MHz,fft,1.530640476190476e-06
4,5,-2,doppler,doppler_p5_v30_f3500MHz,cubic,1.5305142857142858e-06
4,5,-2,doppler,doppler_p5_v120_f700MHz,perfect,1.521242857142857e-06
4,5,-2,doppler,doppler_p5_v120_f700MHz,fft,1.5212619047619051e-06
4,5,-2,doppler,doppler_p5_v120_f700MHz,cubic,1.5214214285714285e-06
4,5,-2,doppler,doppler_p5_v120_f3500MHz,perfect,1.5066880952380953e-06
4,5,-2,doppler,doppler_p5_v120_f3500MHz,fft,1.5067047619047618e-06
4,5,-2,doppler,doppler_p5_v120_f3500MHz,cubic,1.5068714285714288e-06
4,5,-2,doppler,doppler_p40_v30_f700MHz,perfect,1.5301095238095237e-06
4,5,-2,doppler,doppler_p40_v30_f700MHz,fft,1.5301238095238097e-06
4,5,-2,doppler,doppler_p40_v30_f700MHz,cubic,1.530040476190476e-06
4,5,-2,doppler,doppler_p40_v30_f3500MHz,perfect,1.5298357142857143e-06
4,5,-2,doppler,doppler_p40_v30_f3500MHz,fft,1.5298357142857143e-06
4,5,-2,doppler,doppler_p40_v30_f3500MHz,cubic,1.5298095238095239e-06
4,5,-2,doppler,doppler_p40_v120_f700MHz,perfect,1.5241904761904762e-06
4,5,-2,doppler,doppler_p40_v120_f700MHz,fft,1.5241642857142858e-06
4,5,-2,doppler,doppler_p40_v120_f700MHz,cubic,1.5240952380952379e-06
4,5,-2,doppler,doppler_p40_v120_f3500MHz,perfect,1.520338095238095e-06
4,5,-2,doppler,doppler_p40_v120_f3500MHz,fft,1.5203380952380951e-06
4,5,-2,doppler,doppler_p40_v120_f3500MHz,cubic,1.5208309523809528e-06
4,5,-1,awgn,awgn,perfect,1.2226214285714287e-06
4,5,-1,awgn,awgn,fft,1.2226214285714287e-06
4,5,-1,awgn,awgn,cubic,1.2226214285714287e-06
4,5,-1,rayleigh,rayleigh,perfect,1.4143809523809528e-06
4,5,-1,rayleigh,rayleigh,fft,2.4991571428571426e-06
4,5,-1,rayleigh,rayleigh,cubic,2.500133333333334e-06
4,5,-1,doppler,doppler_p5_v30_f700MHz,perfect,1.415504761904762e-06
