modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.30116333333333334
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.30115095238095235
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.30295761904761903
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.3029604761904762
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.2780271428571429
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.27804619047619045
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.2699138095238095
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.26987666666666665
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.24361238095238097
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.24361619047619051
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.2539104761904762
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.25392761904761907
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.21625142857142854
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.2162480952380952
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.2246280952380952
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.22459809523809526
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.1957642857142857
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.1957957142857143
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.19562142857142856
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.1956647619047619
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.17310761904761898
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.17311190476190474
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.17199
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.1719466666666667
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.1541957142857143
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.1541928571428572
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.14631809523809525
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.14628761904761908
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.1247247619047619
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.12468666666666668
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.12573761904761907
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.12573285714285715
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.10684761904761905
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.10683095238095237
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.10713095238095237
