modulation,pilot_spacing,snr_db,channel,scenario,method,ber
4,5,-2,doppler,doppler_p10_v50_f700MHz,perfect,0.10057857142857142
4,5,-2,doppler,doppler_p10_v50_f700MHz,cubic,0.10057809523809524
4,5,-2,doppler,doppler_p10_v50_f3500MHz,perfect,0.10048380952380953
4,5,-2,doppler,doppler_p10_v50_f3500MHz,cubic,0.10054571428571427
4,5,-1,doppler,doppler_p10_v50_f700MHz,perfect,0.08376238095238096
4,5,-1,doppler,doppler_p10_v50_f700MHz,cubic,0.08376714285714285
4,5,-1,doppler,doppler_p10_v50_f3500MHz,perfect,0.08224714285714285
4,5,-1,doppler,doppler_p10_v50_f3500MHz,cubic,0.08222190476190476
4,5,0,doppler,doppler_p10_v50_f700MHz,perfect,0.06728904761904764
4,5,0,doppler,doppler_p10_v50_f700MHz,cubic,0.06729333333333334
4,5,0,doppler,doppler_p10_v50_f3500MHz,perfect,0.06800666666666666
4,5,0,doppler,doppler_p10_v50_f3500MHz,cubic,0.06802
4,5,1,doppler,doppler_p10_v50_f700MHz,perfect,0.053111904761904756
4,5,1,doppler,doppler_p10_v50_f700MHz,cubic,0.05310428571428571
4,5,1,doppler,doppler_p10_v50_f3500MHz,perfect,0.0567690476190476
4,5,1,doppler,doppler_p10_v50_f3500MHz,cubic,0.056816666666666675
4,5,2,doppler,doppler_p10_v50_f700MHz,perfect,0.047087142857142855
4,5,2,doppler,doppler_p10_v50_f700MHz,cubic,0.047093333333333334
4,5,2,doppler,doppler_p10_v50_f3500MHz,perfect,0.044684761904761915
4,5,2,doppler,doppler_p10_v50_f3500MHz,cubic,0.04470666666666666
4,5,3,doppler,doppler_p10_v50_f700MHz,perfect,0.03428047619047618
4,5,3,doppler,doppler_p10_v50_f700MHz,cubic,0.03428095238095238
4,5,3,doppler,doppler_p10_v50_f3500MHz,perfect,0.03527285714285714
4,5,3,doppler,doppler_p10_v50_f3500MHz,cubic,0.035241904761904766
4,5,4,doppler,doppler_p10_v50_f700MHz,perfect,0.02797619047619047
4,5,4,doppler,doppler_p10_v50_f700MHz,cubic,0.027988095238095242
4,5,4,doppler,doppler_p10_v50_f3500MHz,perfect,0.03008952380952381
4,5,4,doppler,doppler_p10_v50_f3500MHz,cubic,0.03004047619047619
4,5,5,doppler,doppler_p10_v50_f700MHz,perfect,0.023012857142857144
4,5,5,doppler,doppler_p10_v50_f700MHz,cubic,0.02300571428571429
4,5,5,doppler,doppler_p10_v50_f3500MHz,perfect,0.024344285714285718
4,5,5,doppler,doppler_p10_v50_f3500MHz,cubic,0.024323809523809525
4,5,6,doppler,doppler_p10_v50_f700MHz,perfect,0.022014285714285715
4,5,6,doppler,doppler_p10_v50_f700MHz,cubic,0.02201619047619048
4,5,6,doppler,doppler_p10_v50_f3500MHz,perfect,0.01883333333333333
4,5,6,doppler,doppler_p10_v50_f3500MHz,cubic,0.018825714285714286
4,5,7,doppler,doppler_p10_v50_f700MHz,perfect,0.015399047619047621
4,5,7,doppler,doppler_p10_v50_f700MHz,cubic,0.015411904761904764
4,5,7,doppler,doppler_p10_v50_f3500MHz,perfect,0.01546714285714286
4,5,7,doppler,doppler_p10_v50_f3500MHz,cubic,0.015474761904761904
4,5,8,doppler,doppler_p10_v50_f700MHz,perfect,0.012471904761904764
4,5,8,doppler,doppler_p10_v50_f700MHz,cubic,0.012485238095238096
4,5,8,doppler,doppler_p10_v50_f3500MHz,perfect,0.012699047619047618
4,5,8,doppler,doppler_p10_v50_f3500MHz,cubic,0.01270380952380952
4,5,9,doppler,doppler_p10_v50_f700MHz,perfect,0.010341428571428573
4,5,9,doppler,doppler_p10_v50_f700MHz,cubic,0.010348571428571427
4,5,9,doppler,doppler_p10_v50_f3500MHz,perfect,0.009695714285714285
4,5,9,doppler,doppler_p10_v50_f3500MHz,cubic,0.00970904761904762
4,5,10,doppler,doppler_p10_v50_f700MHz,perfect,0.008787142857142858
